Name,Profession,Approximate Current Age,Date Added to Alivewatch
Joe Torre,baseball,85,2025-01-03
Roy Ayers,singer,85,2025-01-03
Peter Atkins,chemist,85,2025-01-03
Chip Taylor,music,85,2025-01-03
Ken Jenkins,actor,85,2025-01-03
Daniel J. Travanti,actor,85,2025-01-03
James Burrows,screenwriter,85,2025-01-03
Norman Spinrad,writer,85,2025-01-03
Chuck Mangione,conductor,85,2025-01-03
Larry Brown (basketball),basket,85,2025-01-03
Natalia Makarova,ballet,85,2025-01-03
Tom Brokaw,journalist,85,2025-01-03
Quentin Skinner,philosopher,85,2025-01-03
Donna Mills,actor,85,2025-01-03
Trevor Nunn,theatre,85,2025-01-03
Jorma Kaukonen,guitar,85,2025-01-03
Peter Diamond,economist,85,2025-01-03
Manfred Mann (musician),music,85,2025-01-03
Dan Hedaya,actor,85,2025-01-03
Arthur Laffer,economist,85,2025-01-03
Mariette Hartley,actor,85,2025-01-03
Jerry Lucas,basket,85,2025-01-03
Edmund White,novelist,85,2025-01-03
Carole Pateman,political_scientist,85,2025-01-03
Dakin Matthews,playwright,85,2025-01-03
David Gates,guitar,85,2025-01-03
Dick Armey,politician,85,2025-01-03
Walter Alvarez,geologist,85,2025-01-03
Chris Farlowe,singer,85,2025-01-03
Joachim Frank,chemist,85,2025-01-03
Carol Heiss,skater,85,2025-01-03
Jim Clyburn,politician,85,2025-01-03
Joseph L. Goldstein,geneticist,85,2025-01-03
Fran Tarkenton,football,85,2025-01-03
Mary Beth Peil,singer,85,2025-01-03
Tony Bill,actor,85,2025-01-03
David Seltzer,film,85,2025-01-03
Bill Medley,singer,85,2025-01-03
Austin Pendleton,playwright,85,2025-01-03
Larry Hankin,actor,85,2025-01-03
Roy Thomas,artist,85,2025-01-03
Lainie Kazan,actor,85,2025-01-03
Terry Gilliam,film,85,2025-01-03
George Akerlof,economist,85,2025-01-03
Smokey Robinson,singer,85,2025-01-03
James L. Brooks,screenwriter,85,2025-01-03
James Brolin,actor,85,2025-01-03
Katharine Ross,actor,85,2025-01-03
Jeffrey Archer,novelist,85,2025-01-03
Lance Henriksen,actor,85,2025-01-03
Nancy Sinatra,singer,85,2025-01-03
James Cromwell,actor,85,2025-01-03
Jack Nicklaus,golf,85,2025-01-03
Kip Thorne,physicist,85,2025-01-03
Nancy Pelosi,politician,85,2025-01-03
Dionne Warwick,singer,85,2025-01-03
Herbie Hancock,singer,85,2025-01-03
Julie Christie,actor,85,2025-01-03
Cliff Richard,actor,85,2025-01-03
Brian De Palma,film,85,2025-01-03
Tom Jones (singer),singer,85,2025-01-03
Sam Waterston,film,85,2025-01-03
Patrick Leahy,politician,85,2025-01-03
Alan Kay,computer_scientist,85,2025-01-03
Thomas Harris,writer,85,2025-01-03
William Cohen,politician,85,2025-01-03
David Jason,actor,85,2025-01-03
Brian Josephson,physicist,85,2025-01-03
Thelma Schoonmaker,film,85,2025-01-03
Leonard Susskind,physicist,85,2025-01-03
Robin Cook (American novelist),writer,85,2025-01-03
Barney Frank,politician,85,2025-01-03
Jill St. John,actor,85,2025-01-03
Linda Gray,actor,85,2025-01-03
Lamar Alexander,politician,85,2025-01-03
Paul Williams (songwriter),actor,85,2025-01-03
Pauline Collins,actor,85,2025-01-03
Kenneth Clarke,politician,85,2025-01-03
Mario Andretti,driver,85,2025-01-03
Barry Corbin,actor,85,2025-01-03
Frankie Avalon,singer,85,2025-01-03
Barbara Boxer,politician,85,2025-01-03
Godfrey Reggio,film,85,2025-01-03
Candi Staton,singer,85,2025-01-03
John Grinder,linguist,85,2025-01-03
Arthur Elgort,photographer,85,2025-01-03
Taylor Wang,astronaut,85,2025-01-03
Beth Fowler,actor,85,2025-01-03
Harry Northup,actor,85,2025-01-03
Geoffrey Boycott,cricket,85,2025-01-03
Richard Chew,film,85,2025-01-03
Ina May Gaskin,midwife,85,2025-01-03
Stephen J. Lippard,chemist,85,2025-01-03
David Broome,jumper,85,2025-01-03
Lucinda Childs,choreographer,85,2025-01-03
Willie John McBride,player,85,2025-01-03
Billy Hart,music,85,2025-01-03
Peter Gerety,actor,85,2025-01-03
Bobby Rush (musician),composer,85,2025-01-03
Chuck Rainey,music,85,2025-01-03
Richard D. Ryder,psychologist,85,2025-01-03
Bennie Maupin,clarinet,85,2025-01-03
Michael Cook (historian),historian,85,2025-01-03
Philip Proctor,actor,85,2025-01-03
Averil Cameron,historian,85,2025-01-03
Ralph Towner,guitar,85,2025-01-03
Lance Alworth,football,85,2025-01-03
David Ackroyd,actor,85,2025-01-03
Frances Mayes,novelist,85,2025-01-03
Jo Ann Pflug,actor,85,2025-01-03
Roscoe Mitchell,composer,85,2025-01-03
Wyche Fowler,politician,85,2025-01-03
Richard Edlund,special_effects,85,2025-01-03
Kenneth Binmore,economist,85,2025-01-03
Daniel Goldin,politician,85,2025-01-03
John Cornwell (writer),novelist,85,2025-01-03
Louise Sorel,actor,85,2025-01-03
Ernest Sosa,philosopher,85,2025-01-03
RubÃ©n Hinojosa,politician,85,2025-01-03
Jack Shepherd (actor),actor,85,2025-01-03
Penny Fuller,actor,85,2025-01-03
"Meghnad Desai, Baron Desai",economist,85,2025-01-03
Mary Rand,athletic,85,2025-01-03
Stanley Mouse,painter,85,2025-01-03
Helen Donath,singer,85,2025-01-03
Dennis Tito,entrepreneur,85,2025-01-03
Richard Lindzen,physicist,85,2025-01-03
Juliet Mitchell,psychologist,85,2025-01-03
Anthony S. Fauci,immunologist,85,2025-01-03
Arlie Russell Hochschild,sociologist,85,2025-01-03
Stephen Kovacevich,pianist,85,2025-01-03
Don Nelson,basket,85,2025-01-03
Chris Menges,film,85,2025-01-03
Donald Wuerl,priest,85,2025-01-03
Luis Valdez,film,85,2025-01-03
George Ritzer,sociologist,85,2025-01-03
Maxine Hong Kingston,author,85,2025-01-03
John Castle,actor,85,2025-01-03
Robert Winston,professor,85,2025-01-03
Robert Pinsky,poet,85,2025-01-03
Steve Swallow,composer,85,2025-01-03
Wendy Doniger,indologist,85,2025-01-03
John Hagee,pastor,85,2025-01-03
Michael Lindsay-Hogg,film,85,2025-01-03
Stanley Hauerwas,ethicist,85,2025-01-03
Gilbert Shelton,artist,85,2025-01-03
Judy Cornwell,actor,85,2025-01-03
John Schuck,actor,85,2025-01-03
Brian Bennett,composer,85,2025-01-03
Connie Mack III,politician,85,2025-01-03
Gary Bartz,composer,85,2025-01-03
Joe Gibbs,nascar,85,2025-01-03
Charles Fox (composer),composer,85,2025-01-03
Andrew Neiderman,screenwriter,85,2025-01-03
Zandra Rhodes,designer,85,2025-01-03
David Price (American politician),politician,85,2025-01-03
John Esposito,professor,85,2025-01-03
Carole Ann Ford,actor,85,2025-01-03
Lonnie Liston Smith,composer,85,2025-01-03
Adam Przeworski,political_scientist,85,2025-01-03
John Irvin,film,85,2025-01-03
Joanna Miles,actor,85,2025-01-03
Graham T. Allison,political_scientist,85,2025-01-03
David Peoples,screenwriter,85,2025-01-03
Robert S. Kaplan,economist,85,2025-01-03
Martin Sheen,actor,85,2025-01-03
Deanna Dunagan,actor,85,2025-01-03
Richard Shelby,politician,91,2024-01-03
Richard Rhodes,historian,88,2024-01-03
James Gill (artist),painter,91,2024-01-03
Johnny Tillotson,music,86,2024-01-03
Joseph P. Kerwin,physician,93,2024-01-03
Matt Clark (actor),actor,89,2024-01-03
Lynn Carlin,actor,87,2024-01-03
Theodore Edgar McCarrick,prelate,95,2024-01-03
Leon O. Chua,academic,89,2024-01-03
Jack Daniels (coach),athlete,92,2024-01-03
Max Baer Jr.,actor,88,2024-01-03
Jac Holzman,entrepreneur,94,2024-01-03
Theodore Zeldin,historian,92,2024-01-03
Kenneth J. Gergen,psychologist,90,2024-01-03
Sheldon Lee Glashow,physicist,93,2024-01-03
Oliver Ford Davies,actor,86,2024-01-03
Stuart Kauffman,biologist,86,2024-01-03
Stanley Norman Cohen,geneticist,90,2024-01-03
Robert Benton,film,93,2024-01-03
Joseph P. Allen,astronaut,88,2024-01-03
Joan Blackman,actor,87,2024-01-03
Dee Palmer,music,88,2024-01-03
Madeleine Kunin,politician,92,2024-01-03
Rosey Grier,actor,93,2024-01-03
David Scott,astronaut,93,2024-01-03
Virginia McKenna,actor,94,2024-01-03
Douglas McIlroy,engineer,93,2024-01-03
Jon Cypher,actor,93,2024-01-03
Ron Atkinson,football,86,2024-01-03
Bradley Efron,bioinformatician,87,2024-01-03
Lou Antonio,actor,91,2024-01-03
Jo Anne Worley,actor,88,2024-01-03
Jane Yolen,writer,86,2024-01-03
Erin Pizzey,writer,86,2024-01-03
Rita R. Colwell,research,91,2024-01-03
Peter Lupus,actor,93,2024-01-03
Anita Gillette,actor,89,2024-01-03
Nicholas Grimshaw,architect,86,2024-01-03
Patrick Godfrey,actor,92,2024-01-03
John Guare,playwright,87,2024-01-03
Stella Rimington,author,90,2024-01-03
Quentin Blake,writer,93,2024-01-03
Judith Viorst,writer,94,2024-01-03
Tom Skerritt,actor,92,2024-01-03
Kenneth Copeland,actor,89,2024-01-03
John Dean,attorney,87,2024-01-03
Flaco JimÃ©nez,music,86,2024-01-03
Nanette Newman,actor,91,2024-01-03
Christian Wolff (composer),composer,91,2024-01-03
Melvyn Bragg,screenwriter,86,2024-01-03
Michael Dukakis,politician,92,2024-01-03
Doc Severinsen,bandleader,98,2024-01-03
Carl Gottlieb,screenwriter,87,2024-01-03
Joan O'Brien,actor,89,2024-01-03
P. J. Proby,singer,87,2024-01-03
Elaine May,actor,93,2024-01-03
Peter Eisenman,architect,93,2024-01-03
Herbert Boyer,research,89,2024-01-03
Pippa Scott,actor,90,2024-01-03
Ruzena Bajcsy,computer_scientist,92,2024-01-03
Sara Dylan,actor,86,2024-01-03
William G. Dever,anthropologist,92,2024-01-03
Douglas Hurd,conservative,95,2024-01-03
Reggie Workman,music,88,2024-01-03
Mary Jo Catlett,actor,87,2024-01-03
Claudette Colvin,civil_rights,86,2024-01-03
Bob Schieffer,television,88,2024-01-03
John H. Sununu,politician,86,2024-01-03
Bridget Riley,painter,94,2024-01-03
Houston Person,music,91,2024-01-03
Dominic Chianese,singer,94,2024-01-03
Efraim Halevy,diplomat,91,2024-01-03
Iris Johansen,novelist,87,2024-01-03
Rod Paige,politician,92,2024-01-03
Anjanette Comer,actor,86,2024-01-03
Neil Abercrombie,politician,87,2024-01-03
Ann Jones (tennis),player,87,2024-01-03
William Kennedy (author),writer,97,2024-01-03
Zohra Lampert,actor,88,2024-01-03
Raymond Berry,football,92,2024-01-03
Robert Eisenman,anthropologist,88,2024-01-03
Joanne Greenberg,novelist,93,2024-01-03
Mamie Van Doren,actor,94,2024-01-03
Joan Bennett Kennedy,pianist,89,2024-01-03
Dan Rather,news_presenter,94,2024-01-03
Joel Grey,singer,93,2024-01-03
Wavy Gravy,comedian,89,2024-01-03
Hal Rogers,politician,88,2024-01-03
Irvin D. Yalom,psychiatrist,94,2024-01-03
Angela Mortimer,player,93,2024-01-03
Joel Fabiani,actor,89,2024-01-03
John Searle,philosopher,93,2024-01-03
Gene Kranz,engineer,92,2024-01-03
Dick Clement,film,88,2024-01-03
Diane Ladd,actor,93,2024-01-03
Michael Schultz,film,87,2024-01-03
W. Michael Blumenthal,political,99,2024-01-03
Anthony Lake,political_scientist,86,2024-01-03
Laurence Luckinbill,film,91,2024-01-03
Barbara Barrie,actor,94,2024-01-03
Lucy R. Lippard,writer,88,2024-01-03
Charles Rangel,politician,95,2024-01-03
G. E. R. Lloyd,historian,92,2024-01-03
Richard Harrison (actor),actor,89,2024-01-03
Peter Max,artist,88,2024-01-03
Michael Deeley,film,93,2024-01-03
William Bell (singer),singer,86,2024-01-03
Don King (boxing promoter),manslaughter,94,2024-01-03
Carol Burnett,singer,92,2024-01-03
Gordon S. Wood,historian,92,2024-01-03
Joan Collins,actor,92,2024-01-03
GÃ¡bor A. Somorjai,chemist,90,2024-01-03
Grace Napolitano,politician,89,2024-01-03
"Robert Skidelsky, Baron Skidelsky",historian,86,2024-01-03
Buck Taylor,actor,87,2024-01-03
Bill Anderson (singer),singer,88,2024-01-03
Gary Raymond,actor,90,2024-01-03
Jeff Barry,singer,87,2024-01-03
William Browder (mathematician),mathematician,91,2024-01-03
Kim Novak,actor,92,2024-01-03
John Milnor,mathematician,94,2024-01-03
Arthur Butz,professor,92,2024-01-03
Phillip Griffiths,mathematician,87,2024-01-03
