Name,Profession,Birth Year,Date of Death
Phil Lesh,Music,1940,2024-10-25
Chet Walker,Basket,1940,2024-06-08
Cale Yarborough,Nascar,1939,2023-12-31
Eddie Bernice Johnson,Politician,1935,2023-12-31
Les McCann,Pianist,1935,2023-12-29
Herb Kohl,Politician,1935,2023-12-27
Robert Solow,Economist,1924,2023-12-21
Arno J. Mayer,Historian,1926,2023-12-18
Shirley Anne Field,Actor,1938,2023-12-10
Norman Lear,Producer,1922,2023-12-05
Sandra Day O'Connor,Judge,1930,2023-12-01
John Byrne (playwright),Playwright,1940,2023-11-30
Elliott Erwitt,Photographer,1928,2023-11-29
Charlie Munger,Investor,1924,2023-11-28
Frances Sternhagen,Actor,1930,2023-11-27
Victor J. Kemper,Cinema,1927,2023-11-27
Elliot Silverstein,Film,1927,2023-11-24
Rosalynn Carter,Politician,1927,2023-11-19
Joss Ackland,Actor,1928,2023-11-19
David Del Tredici,Pianist,1937,2023-11-18
A. S. Byatt,Writer,1936,2023-11-16
Maryanne Trump Barry,Magistrat,1937,2023-11-13
M. Russell Ballard,Religious,1928,2023-11-12
Don Walsh,Oceanographer,1931,2023-11-12
Frank Borman,Astronaut,1928,2023-11-07
Robert Butler (director),Film,1927,2023-11-03
Bob Knight,Basket,1940,2023-11-01
Ken Mattingly,Astronaut,1936,2023-10-31
Robert Irwin (artist),Painter,1928,2023-10-25
Bobby Charlton,Football,1937,2023-10-21
Carla Bley,Bandleader,1936,2023-10-17
Joanna Merlin,Actor,1931,2023-10-15
Piper Laurie,Actor,1932,2023-10-14
Mark Goddard,Actor,1936,2023-10-10
Burt Young,Actor,1940,2023-10-08
Dianne Feinstein,Politician,1933,2023-09-29
Michael Gambon,Actor,1940,2023-09-27
Brooks Robinson,Baseball,1937,2023-09-26
David McCallum,Music,1933,2023-09-25
Evelyn Fox Keller,Physicist,1936,2023-09-22
Roger Whittaker,Singer,1936,2023-09-13
Richard Davis (bassist),Jazz,1930,2023-09-06
Ferid Murad,Physician,1936,2023-09-04
Don Sundquist,Politician,1936,2023-08-27
Bob Barker,Actor,1923,2023-08-26
John Warnock,Entrepreneur,1940,2023-08-19
James L. Buckley,Politician,1923,2023-08-18
Howard S. Becker,Sociologist,1928,2023-08-16
Michael Parkinson,Presenter,1935,2023-08-16
Kenneth White,Writer,1936,2023-08-11
Brice Marden,Painter,1938,2023-08-09
William Friedkin,Film,1935,2023-08-07
Arthur Schmidt (film editor),Film,1937,2023-08-05
Mark Margolis,Actor,1939,2023-08-03
Carl Davis,Composer,1936,2023-08-03
Bo Goldman,Screenwriter,1932,2023-07-25
Charles W. Misner,Physicist,1932,2023-07-24
Inga Swenson,Actor,1932,2023-07-23
Tony Bennett,Singer,1926,2023-07-21
Richard Lynn,Psychologist,1930,2023-07-17
Harry Frankfurt,Philosopher,1929,2023-07-16
Alan Arkin,Film,1934,2023-06-29
Lowell Weicker,Politician,1931,2023-06-28
Nicolas Coster,Actor,1934,2023-06-26
"Craig Brown (footballer, born 1940)",Football,1940,2023-06-26
John B. Goodenough,Physicist,1922,2023-06-25
Sheldon Harnick,Poet,1924,2023-06-23
Betta St. John,Actor,1929,2023-06-23
Frederic Forrest,Actor,1936,2023-06-23
Harry Markowitz,Economist,1927,2023-06-22
Daniel Ellsberg,Activist,1931,2023-06-16
Paxton Whitehead,Playwright,1937,2023-06-16
Glenda Jackson,Actress,1936,2023-06-15
Cormac McCarthy,Novelist,1933,2023-06-13
John Romita Sr.,Artist,1930,2023-06-12
Pat Robertson,Politician,1930,2023-06-08
Cynthia Weil,Composer,1940,2023-06-01
Thomas Buergenthal,Lawyer,1934,2023-05-29
Owen Gingerich,Astronomer,1930,2023-05-28
James G. Watt,Politician,1938,2023-05-27
George Maharis,Actor,1928,2023-05-24
Bill Lee (musician),Composer,1928,2023-05-24
Pete Brown,Poet,1940,2023-05-19
Jim Brown,Football,1936,2023-05-18
James Hartle,Physicist,1939,2023-05-17
Robert Lucas Jr.,Economist,1937,2023-05-15
Sharon Farrell,Actor,1940,2023-05-15
Doyle Brunson,Player,1933,2023-05-14
Barry Newman,Actor,1938,2023-05-11
Kenneth Anger,Actor,1927,2023-05-11
Grace Bumbry,Music,1937,2023-05-07
Ralph Boston,Athletic,1939,2023-04-30
Dick Groat,Basket,1930,2023-04-27
Harry Belafonte,Singer,1927,2023-04-25
Ahmad Jamal,Pianist,1930,2023-04-16
Murray Melvin,Actor,1932,2023-04-14
Mary Quant,Designer,1934,2023-04-13
Anne Perry,Writer,1938,2023-04-10
Al Jaffee,Cartoonist,1921,2023-04-10
Richard Ng,Actor,1939,2023-04-09
Ben Ferencz,Lawyer,1920,2023-04-07
Bill Butler (cinematographer),Cinema,1921,2023-04-05
Nigel Lawson,Conservative,1932,2023-04-03
Gordon Moore,Computer Scientist,1929,2023-03-24
Bud Grant,Basket,1927,2023-03-11
John Jakes,Writer,1932,2023-03-11
Keith Johnstone,Drama,1933,2023-03-11
Robert Blake (actor),Actor,1933,2023-03-09
Bert I. Gordon,Screenwriter,1922,2023-03-08
Wayne Shorter,Composer,1933,2023-03-02
Ricou Browning,Screenwriter,1930,2023-02-27
Bob Richards,Pole Vaulter,1926,2023-02-26
Betty Boothroyd,Politician,1929,2023-02-26
James Abourezk,Politician,1931,2023-02-24
Walter Mirisch,Film,1921,2023-02-24
Barbara Bosson,Actor,1939,2023-02-18
Stella Stevens,Actor,1938,2023-02-17
Raquel Welch,Actor,1940,2023-02-15
Paul Berg,Biochemist,1926,2023-02-15
Zia Mohyeddin,Actor,1933,2023-02-13
David Singmaster,Mathematician,1939,2023-02-13
Hugh Hudson,Film,1936,2023-02-10
Burt Bacharach,Pianist,1928,2023-02-08
David Durenberger,Politician,1934,2023-01-31
Sylvia Syms,Actor,1934,2023-01-27
Edgar Schein,Psychologist,1928,2023-01-26
William Lawvere,Mathematician,1937,2023-01-23
Paul Johnson (writer),Journalist,1928,2023-01-12
Charles Kimbrough,Actor,1936,2023-01-11
Melinda Dillon,Actor,1939,2023-01-09
Russell Banks,Screenwriter,1940,2023-01-07
Owen Roizman,Cinema,1936,2023-01-06
Miiko Taka,Actor,1925,2023-01-04
Fay Weldon,Essayist,1931,2023-01-04
Walter Cunningham,Astronaut,1932,2023-01-03
Martin Davis,Mathematician,1928,2023-01-01
Barbara Walters,Journalist,1929,2022-12-30
Tony Vaccaro,Photographer,1922,2022-12-28
George Cohen,Football,1939,2022-12-23
Mike Hodges,Screenwriter,1932,2022-12-17
Stuart Margolin,Actor,1940,2022-12-12
Angelo Badalamenti,Composer,1937,2022-12-11
Joseph Kittinger,Officer,1928,2022-12-09
Nick Bollettieri,Coach,1931,2022-12-04
Gaylord Perry,Baseball,1938,2022-12-01
Ray Nelson,Cartoonist,1931,2022-11-29
E. P. Sanders,Theologian,1937,2022-11-21
Marijane Meaker,Writer,1927,2022-11-21
Ned Rorem,Composer,1923,2022-11-18
Fred Brooks,Mathematician,1931,2022-11-17
John Aniston,Actor,1933,2022-11-11
Nik Turner,Artist,1940,2022-11-10
Lee Bontecou,Sculptor,1931,2022-11-08
Leslie Phillips,Actor,1924,2022-11-07
Edward C. Prescott,Economist,1940,2022-11-06
Andrew Prine,Actor,1936,2022-10-31
Herman Daly,Economist,1938,2022-10-28
Jerry Lee Lewis,Singer,1935,2022-10-28
Jules Bass,Film,1935,2022-10-25
Ron Masak,Actor,1936,2022-10-20
James McDivitt,Astronaut,1929,2022-10-13
Angela Lansbury,Actor,1925,2022-10-11
Michael Callan,Actor,1935,2022-10-10
Eileen Ryan,Actor,1928,2022-10-09
Phil Read,Racer,1939,2022-10-06
Loretta Lynn,Singer,1932,2022-10-04
James Florio,Politician,1937,2022-09-25
Pharoah Sanders,Saxophonist,1940,2022-09-24
Louise Fletcher,Actor,1934,2022-09-23
Nick Holonyak,Engineer,1928,2022-09-20
Maury Wills,Baseball,1932,2022-09-19
Kelsang Gyatso,Writer,1931,2022-09-17
Saul Kripke,Philosopher,1940,2022-09-15
Henry Silva,Actor,1928,2022-09-14
Ramsey Lewis,Jazz,1935,2022-09-12
William Klein (photographer),Photographer,1928,2022-09-10
Jack Ging,Actor,1931,2022-09-09
"Marsha Hunt (actress, born 1917)",Actor,1917,2022-09-07
Frank Drake,Astronomer,1930,2022-09-02
Don L. Lind,Scientist,1930,2022-08-30
Joe E. Tata,Actor,1936,2022-08-25
Nel Noddings,Philosopher,1929,2022-08-25
Len Dawson,Football,1935,2022-08-24
Kallistos Ware,Priest,1934,2022-08-24
Creed Taylor,Producer,1929,2022-08-23
Alexei Panshin,Writer,1940,2022-08-21
Barry Boehm,Computer Scientist,1935,2022-08-20
Frederick Buechner,Poet,1926,2022-08-15
Raymond Briggs,Writer,1934,2022-08-09
David McCullough,Author,1933,2022-08-07
Roger E. Mosley,Actor,1938,2022-08-07
Clu Gulager,Actor,1928,2022-08-05
Raymond Damadian,Physician,1936,2022-08-03
Vin Scully,Sport,1927,2022-08-02
Bill Russell,Basket,1934,2022-07-31
Nichelle Nichols,Actor,1932,2022-07-30
Pat Carroll (actress),Actor,1927,2022-07-30
Bernard Cribbins,Actor,1928,2022-07-27
James Lovelock,Biologist,1919,2022-07-26
Paul Sorvino,Actor,1939,2022-07-25
Bob Rafelson,Film,1933,2022-07-23
Stuart Woods,Novelist,1938,2022-07-22
Rodney Stark,Sociologist,1934,2022-07-21
Claes Oldenburg,Artist,1929,2022-07-18
Monty Norman,Composer,1928,2022-07-11
L. Q. Jones,Film,1927,2022-07-09
Larry Storch,Actor,1923,2022-07-08
James Caan,Actor,1940,2022-07-06
Robert Curl,Chemist,1933,2022-07-03
Peter Brook,Theatre,1925,2022-07-02
Sonny Barger,Writer,1938,2022-06-29
Joe Turkel,Actor,1927,2022-06-27
Margaret Keane,Painter,1927,2022-06-26
Philip Baker Hall,Actor,1931,2022-06-12
Dale W. Jorgenson,Economist,1933,2022-06-08
Grachan Moncur III,Music,1937,2022-06-03
Dorothy E. Smith,Anthropologist,1926,2022-06-03
Roger Shepard,Psychologist,1929,2022-05-30
Ronnie Hawkins,Music,1935,2022-05-29
Lester Piggott,Jockey,1935,2022-05-29
Walter Abish,Writer,1931,2022-05-28
Rosemary Radford Ruether,Philosopher,1936,2022-05-21
Simon Preston,Conductor,1938,2022-05-13
Ben Roy Mottelson,Physicist,1926,2022-05-13
Robert McFarlane,Officer,1937,2022-05-12
Shivkumar Sharma,Music,1938,2022-05-10
Mickey Gilley,Music,1936,2022-05-07
Norman Mineta,Politician,1931,2022-05-03
Bob Krueger,Politician,1935,2022-04-30
Ron Galella,Photographer,1931,2022-04-30
Joanna Barnes,Novelist,1934,2022-04-29
David Birney,Actor,1939,2022-04-27
Orrin Hatch,Politician,1934,2022-04-23
Robert Morse,Actor,1931,2022-04-20
Harrison Birtwistle,Composer,1934,2022-04-18
James Olson (actor),Actor,1930,2022-04-17
Liz Sheridan,Actor,1929,2022-04-15
Jack Higgins,Novelist,1929,2022-04-09
David McKee,Writer,1935,2022-04-06
Nehemiah Persoff,Actor,1919,2022-04-05
Jerry Uelsmann,Photographer,1934,2022-04-04
Estelle Harris,Actor,1928,2022-04-02
Richard Howard,Poet,1929,2022-03-31
Marvin J. Chomsky,Film,1929,2022-03-28
Madeleine Albright,Politician,1937,2022-03-23
Don Young,Politician,1933,2022-03-18
Christopher Alexander,Architect,1936,2022-03-17
Peter Bowles,Actor,1936,2022-03-17
Eugene Parker,Astronomer,1927,2022-03-15
John Elliott (historian),Historian,1930,2022-03-10
John Korty,Film,1936,2022-03-09
Jimmy Lydon,Actor,1923,2022-03-09
Mitchell Ryan,Actor,1928,2022-03-04
Tony Walton,Art Director,1934,2022-03-02
Conrad Janis,Actor,1928,2022-03-01
Sally Kellerman,Actor,1937,2022-02-24
Gail Halvorsen,Officer,1920,2022-02-16
Sandy Nelson,Drummer,1938,2022-02-14
Syl Johnson,Singer,1936,2022-02-06
George Crumb,Composer,1929,2022-02-06
James Bidgood (filmmaker),Film,1933,2022-01-31
Howard Hesseman,Comedian,1940,2022-01-29
David Cox (statistician),Mathematician,1924,2022-01-18
Ron Goulart,Writer,1933,2022-01-14
Dwayne Hickman,Actor,1934,2022-01-09
Mark Forest,Actor,1933,2022-01-07
Peter Bogdanovich,Actor,1939,2022-01-06
Sidney Poitier,Actor,1927,2022-01-06
Joan Copeland,Actor,1922,2022-01-04
Betty White,Actor,1922,2021-12-31
Sam Jones (basketball),Basket,1933,2021-12-30
Harry Reid,Politician,1939,2021-12-28
John Madden,Football,1936,2021-12-28
April Ashley,Model,1935,2021-12-27
E. O. Wilson,Entomologist,1929,2021-12-26
Richard Marcinko,Officer,1940,2021-12-25
Jonathan Spence,Historian,1936,2021-12-25
Wayne Thiebaud,Painter,1920,2021-12-25
Joan Didion,Screenwriter,1934,2021-12-23
Sally Ann Howes,Singer,1930,2021-12-19
Richard Rogers,Architect,1933,2021-12-18
Jack Hedley,Actor,1930,2021-12-11
Al Unser,Driver,1939,2021-12-09
Cara Williams,Actor,1925,2021-12-09
Barry Harris,Pianist,1929,2021-12-08
Bob Dole,Politician,1923,2021-12-05
Alvin Lucier,Composer,1931,2021-12-01
Arlene Dahl,Actor,1925,2021-11-29
Michael Fisher,Physicist,1931,2021-11-26
Stephen Sondheim,Drama,1930,2021-11-26
Noah Gordon (novelist),Writer,1926,2021-11-22
Robert Bly,Poet,1926,2021-11-21
Slide Hampton,Composer,1932,2021-11-18
Sam Huff,Football,1934,2021-11-13
Dean Stockwell,Actor,1936,2021-11-07
Aaron T. Beck,Psychiatrist,1921,2021-11-01
Mihaly Csikszentmihalyi,Psychologist,1934,2021-10-20
Leslie Bricusse,Composer,1931,2021-10-19
Colin Powell,Politician,1937,2021-10-18
Gary Paulsen,Writer,1939,2021-10-13
Budge Patty,Player,1924,2021-10-03
Anthony Downs,Economist,1930,2021-10-02
Carlisle Floyd,Composer,1926,2021-09-30
Roger Hunt,Football,1938,2021-09-27
Melvin Van Peebles,Film,1932,2021-09-21
Jimmy Greaves,Football,1940,2021-09-19
Clive Sinclair,Engineer,1940,2021-09-16
Jane Powell,Actor,1929,2021-09-16
Antony Hewish,Astronomer,1924,2021-09-13
John Shelby Spong,Theologian,1931,2021-09-12
Art Metrano,Actor,1936,2021-09-08
Adlai Stevenson III,Politician,1930,2021-09-06
Willard Scott,Actor,1934,2021-09-04
Michael Constantine,Actor,1927,2021-08-31
Ed Asner,Actor,1929,2021-08-29
Tom T. Hall,Singer,1936,2021-08-20
Chuck Close,Painter,1940,2021-08-19
Una Stubbs,Actor,1937,2021-08-12
Pat Hitchcock,Actor,1928,2021-08-09
Alex Cord,Actor,1933,2021-08-09
Jane Withers,Actor,1926,2021-08-07
Donald Kagan,Historian,1932,2021-08-06
Abdalqadir as-Sufi,Author,1930,2021-08-01
Carl Levin,Politician,1934,2021-07-29
Jackie Mason,Comedian,1931,2021-07-24
Steven Weinberg,Physicist,1933,2021-07-23
William F. Nolan,Screenwriter,1928,2021-07-15
Edwin Edwards,Politician,1927,2021-07-12
Robert Downey Sr.,Actor,1936,2021-07-07
William Smith (actor),Actor,1933,2021-07-05
Richard Donner,Film,1930,2021-07-05
Richard Lewontin,Mathematician,1929,2021-07-04
Donald Rumsfeld,Politician,1932,2021-06-29
Mike Gravel,Politician,1930,2021-06-26
Jon Hassell,Composer,1937,2021-06-26
Frederic Rzewski,Pianist,1938,2021-06-26
Joanne Linville,Actor,1928,2021-06-20
Ned Beatty,Comedian,1937,2021-06-13
Clarence Williams III,Actor,1939,2021-06-04
F. Lee Bailey,Lawyer,1933,2021-06-03
Arlene Golonka,Actor,1936,2021-05-31
Gavin MacLeod,Actor,1931,2021-05-29
John Warner,Politician,1927,2021-05-25
Ron Hill,Runner,1938,2021-05-23
Max Mosley,Driver,1940,2021-05-23
Charles Grodin,Screenwriter,1935,2021-05-18
Norman Lloyd,Actor,1914,2021-05-11
Buddy Van Horn,Actor,1929,2021-05-11
Jerome Kagan,Psychologist,1929,2021-05-10
Ronald Inglehart,Political Scientist,1934,2021-05-08
Curtis Fuller,Composer,1934,2021-05-08
Lloyd Price,Music,1933,2021-05-03
Jacques d'Amboise (dancer),Actor,1934,2021-05-02
Carlos Romero BarcelÃ³,Politician,1932,2021-05-02
Bobby Unser,Driver,1934,2021-05-02
Olympia Dukakis,Actor,1931,2021-05-01
Eli Broad,Financier,1933,2021-04-30
Michael Collins (astronaut),Astronaut,1930,2021-04-28
Tempest Storm,Actor,1928,2021-04-20
Monte Hellman,Film,1932,2021-04-20
Walter Mondale,Politician,1928,2021-04-19
Anthony Powell (designer),Costume Designer,1935,2021-04-16
Bernard Madoff,Stockbroker,1938,2021-04-14
Shirley Williams,Politician,1930,2021-04-11
John Williamson (economist),Economist,1937,2021-04-11
Ramsey Clark,Politician,1927,2021-04-09
Richard Rush (director),Film,1929,2021-04-08
John Naisbitt,Writer,1929,2021-04-08
James Hampton (actor),Actor,1936,2021-04-07
Alcee Hastings,Politician,1936,2021-04-06
Marshall Sahlins,Anthropologist,1930,2021-04-05
G. Gordon Liddy,Actor,1930,2021-03-30
Larry McMurtry,Screenwriter,1936,2021-03-25
Bill Brock,Politician,1930,2021-03-25
Beverly Cleary,Writer,1916,2021-03-25
George Segal,Banjoist,1934,2021-03-23
Edmund Gettier,Philosopher,1927,2021-03-23
Elgin Baylor,Basket,1934,2021-03-22
Yaphet Kotto,Actor,1939,2021-03-15
Henry Darrow,Actor,1933,2021-03-14
Murray Walker,Commentator,1923,2021-03-13
John Polkinghorne,Physicist,1930,2021-03-09
Roger Mudd,Presenter,1928,2021-03-09
Trevor Peacock,Actor,1931,2021-03-08
David Bailie,Photographer,1937,2021-03-06
Chris Barber,Bandleader,1930,2021-03-02
Ian St John,Football,1938,2021-03-01
Ronald Pickup,Actor,1940,2021-02-24
Lawrence Ferlinghetti,Poet,1919,2021-02-22
Bernard Lown,Cardiologist,1921,2021-02-16
Johnny Pacheco,Singer,1935,2021-02-15
Isadore Singer,Mathematician,1924,2021-02-11
Cyril Mango,Teacher,1928,2021-02-08
George P. Shultz,Statesman,1920,2021-02-06
Tony Trabert,Player,1930,2021-02-03
Cicely Tyson,Actor,1933,2021-01-28
Cloris Leachman,Actor,1926,2021-01-27
Bruce Kirby (actor),Actor,1928,2021-01-24
Larry King,Television,1933,2021-01-23
Hal Holbrook,Actor,1925,2021-01-23
Walter Bernstein,Screenwriter,1919,2021-01-23
Hank Aaron,Baseball,1934,2021-01-22
Jimmie Rodgers (pop singer),Singer,1933,2021-01-18
Junior Mance,Composer,1928,2021-01-17
Sammy Nestico,Composer,1924,2021-01-17
Phil Spector,Producer,1939,2021-01-16
Peter Mark Richman,Screenwriter,1927,2021-01-14
Sheldon Adelson,Entrepreneur,1933,2021-01-11
Ed Bruce,Singer,1939,2021-01-08
Mike Henry (American football),Actor,1936,2021-01-08
Tommy Lasorda,Baseball,1927,2021-01-07
Neil Sheehan,Correspondent,1936,2021-01-07
John Richardson (actor),Actor,1934,2021-01-05
Barbara Shelley,Actor,1932,2021-01-03
Dick Thornburgh,Politician,1932,2020-12-31
Tommy Docherty,Football,1928,2020-12-31
Dawn Wells,Actor,1938,2020-12-30
Eugene Wright,Music,1923,2020-12-30
William Link,Screenwriter,1933,2020-12-27
George Blake,Spy,1922,2020-12-26
Phil Niekro,Baseball,1939,2020-12-26
K. C. Jones,Basket,1932,2020-12-25
James E. Gunn (writer),Writer,1923,2020-12-23
Ezra Vogel,Professor,1930,2020-12-20
Tim Severin,Explorer,1940,2020-12-18
Charley Pride,Country Music,1938,2020-12-12
John le CarrÃ©,Writer,1931,2020-12-12
Barbara Windsor,Actor,1937,2020-12-10
Harold Budd,Composer,1936,2020-12-08
Chuck Yeager,Militar,1923,2020-12-07
Paul Sarbanes,Politician,1933,2020-12-06
Richard Corben,Screenwriter,1940,2020-12-02
Michael Spivak,Mathematician,1940,2020-10-01
John LaMotta,Actor,1939,2014-01-29
Pat Crowley,Actor,1933,2011-05-24
Chris Blackwell,Producer,1937,2009-01-01
