name,profession,age,ranking_visib_5criteria,date_added_to_alivewatch,risk_factor
Iris_Apfel,designer,103,20445,03/01/2024,198355
Glynis_Johns,actor,101,8961,03/01/2024,196639
Eva_Marie_Saint,actor,100,4201,03/01/2024,194799
Janis_Paige,actor,102,22410,03/01/2024,189790
Dick_Van_Dyke,singer,99,3013,03/01/2024,189387
Alan_Greenspan,economist,98,3670,03/01/2024,182130
Roger_Corman,film,98,3707,03/01/2024,182093
Ray_Anthony,actor,102,30936,03/01/2024,181264
June_Lockhart,actor,99,16018,03/01/2024,176382
Lee_Grant,film,97,4894,03/01/2024,174306
Rudolph_A._Marcus,chemist,101,33186,03/01/2024,172414
James_Watson,biologist,96,1228.5,03/01/2024,171371.5
Leontyne_Price,singer,97,7952,03/01/2024,171248
Rosemary_Harris,actor,97,8617,03/01/2024,170583
Estelle_Parsons,singer,97,9621,03/01/2024,169579
Jim_Lovell,officer,96,3559,03/01/2024,169041
William_Daniels,actor,97,11156,03/01/2024,168044
Priscilla_Pointer,actor,100,31577,03/01/2024,167423
Roy_Haynes,drummer,99,25036,03/01/2024,167364
Bob_Cousy,basket,96,6199,03/01/2024,166401
Vernon_L._Smith,economist,97,13942.5,03/01/2024,165257.5
James_Ivory,film,96,7512,03/01/2024,165088
Desmond_Morris,zoologist,96,10112.5,03/01/2024,162487.5
Bob_Newhart,actor,95,3993,03/01/2024,162007
Tom_Lehrer,singer,96,11345,03/01/2024,161255
Barbara_Rush,actor,97,18371,03/01/2024,160829
Joan_Plowright,actor,95,5327,03/01/2024,160673
Elias_James_Corey,chemist,96,12202,03/01/2024,160398
Ann_Blyth,actor,96,12880,03/01/2024,159720
Eric_Kandel,neurologist,95,6310,03/01/2024,159690
Peter_Higgs,physicist,95,7136.5,03/01/2024,158863.5
Gene_Hackman,actor,94,1114,03/01/2024,158286
Buzz_Aldrin,astronaut,94,1147,03/01/2024,158253
Alasdair_MacIntyre,philosopher,95,8065,03/01/2024,157935
James_Hong,actor,95,8313,03/01/2024,157687
William_Labov,linguist,97,21667,03/01/2024,157533
Cleo_Laine,actor,97,21818,03/01/2024,157382
William_Perry,politician,97,22150,03/01/2024,157050
Joanne_Woodward,actor,94,2407,03/01/2024,156993
Gena_Rowlands,actor,94,2577,03/01/2024,156823
Tippi_Hedren,actor,94,2848,03/01/2024,156552
Berry_Gordy,producer,95,9905,03/01/2024,156095
Robert_Wagner,actor,94,4068,03/01/2024,155332
Sonny_Rollins,composer,94,4936,03/01/2024,154464
John_Kander,composer,97,24886,03/01/2024,154314
Paul_Dooley,actor,96,18304,03/01/2024,154296
Jasper_Johns,painter,94,5133,03/01/2024,154267
William_Russell_(actor),actor,100,45590,03/01/2024,153410
Patricia_Routledge,actor,95,12741,03/01/2024,153259
Gerald_Holton,physicist,102,59012,03/01/2024,153188
Len_Deighton,writer,95,13010,03/01/2024,152990
Andrew_Schally,physician,98,32969,03/01/2024,152831
Vera_Miles,actor,94,7031,03/01/2024,152369
Don_Murray_(actor),film,95,14034.5,03/01/2024,151965.5
Alex_Katz,painter,97,27541.5,03/01/2024,151658.5
Ethel_Kennedy,campaign,96,21057,03/01/2024,151543
Lisa_Lu,music,97,27809.5,03/01/2024,151390.5
James_Earl_Jones,actor,93,1718.5,03/01/2024,151081.5
Thomas_Sowell,economist,94,8435,03/01/2024,150965
Marion_Ross,actor,96,21658,03/01/2024,150942
Roger_Penrose,mathematician,93,2566,03/01/2024,150234
Rita_Moreno,singer,93,2795.5,03/01/2024,150004.5
Gary_Snyder,poet,94,9571,03/01/2024,149829
John_Astin,actor,94,9734,03/01/2024,149666
Benny_Golson,composer,95,16650,03/01/2024,149350
Angie_Dickinson,actor,93,4340.5,03/01/2024,148459.5
Lou_Donaldson,composer,98,37530,03/01/2024,148270
Carroll_Baker,actor,93,4958,03/01/2024,147842
Nancy_Olson,actor,96,24942,03/01/2024,147658
Earl_Holliman,actor,96,25644,03/01/2024,146956
Claire_Bloom,actor,93,5897,03/01/2024,146903
Terry_Moore_(actress),actor,95,19524,03/01/2024,146476
Otto_F._Kernberg,psychiatrist,96,26171,03/01/2024,146429
James_Baker,political,94,13220,03/01/2024,146180
Barbara_Eden,actor,93,7134,03/01/2024,145666
Willie_Mays,baseball,93,7784,03/01/2024,145016
Stephen_Smale,mathematician,94,15052,03/01/2024,144348
Ellen_Burstyn,actor,92,1943,03/01/2024,144257
Frederick_Wiseman,film,94,15177,03/01/2024,144223
John_Barth,writer,94,15607,03/01/2024,143793
Dick_Button,skater,95,22307,03/01/2024,143693
Bernie_Ecclestone,business,94,15811,03/01/2024,143589
Lois_Smith,actor,94,15975,03/01/2024,143425
June_Squibb,actor,95,22744,03/01/2024,143256
Leon_Cooper,physicist,94,16326,03/01/2024,143074
Robert_Jay_Lifton,psychiatrist,98,42808.5,03/01/2024,142991.5
Jerry_Schatzberg,screenwriter,97,36446,03/01/2024,142754
Petula_Clark,actor,92,3530,03/01/2024,142670
Philip_Kotler,economist,93,10748,03/01/2024,142052
John_Searle,philosopher,92,4209,03/01/2024,141991
Irvin_D._Yalom,psychiatrist,93,11011,03/01/2024,141789
Joel_Grey,singer,92,5052,03/01/2024,141148
Thomas_P._Stafford,officer,94,18513,03/01/2024,140887
Dan_Rather,news_presenter,93,12672,03/01/2024,140128
Mamie_Van_Doren,actor,93,12766,03/01/2024,140034
William_Kennedy_(author),writer,96,32580,03/01/2024,140020
Dominic_Chianese,singer,93,12978,03/01/2024,139822
Mitzi_Gaynor,actor,93,13199,03/01/2024,139601
Bridget_Riley,painter,93,13226,03/01/2024,139574
Diane_Ladd,actor,92,6972,03/01/2024,139228
John_B._Cobb,theologian,99,53223.5,03/01/2024,139176.5
W._Michael_Blumenthal,political,98,46849,03/01/2024,138951
Cynthia_Ozick,novelist,96,34300,03/01/2024,138300
Quincy_Jones,conductor,91,1512,03/01/2024,138088
John_Milnor,mathematician,93,14850,03/01/2024,137950
Dabney_Coleman,actor,92,8510,03/01/2024,137690
Kim_Novak,actor,91,1968.5,03/01/2024,137631.5
Joan_Collins,actor,91,2330,03/01/2024,137270
Carol_Burnett,singer,91,2954,03/01/2024,136646
Don_King_(boxing_promoter),manslaughter,93,16183,03/01/2024,136617
Charles_Rangel,politician,94,22905,03/01/2024,136495
Barbara_Barrie,actor,93,16628,03/01/2024,136172
Jules_Feiffer,writer,95,30596,03/01/2024,135404
Douglas_Hurd,conservative,94,24600,03/01/2024,134800
Virginia_McKenna,actor,93,18230,03/01/2024,134570
David_Scott,astronaut,92,11897,03/01/2024,134303
Robert_Benton,film,92,12178,03/01/2024,134022
Sheldon_Lee_Glashow,physicist,92,12818,03/01/2024,133382
Theodore_Edgar_McCarrick,prelate,94,26058,03/01/2024,133342
Peter_Eisenman,architect,92,13015,03/01/2024,133185
Elaine_May,actor,92,13087,03/01/2024,133113
John_Mayall,guitar,91,6576,03/01/2024,133024
Doc_Severinsen,bandleader,97,46186,03/01/2024,133014
Michael_Dukakis,politician,91,6788.5,03/01/2024,132811.5
Tom_Skerritt,actor,91,6797,03/01/2024,132803
Quentin_Blake,writer,92,13453,03/01/2024,132747
John_Boorman,screenwriter,91,6944.5,03/01/2024,132655.5
Paul_R._Ehrlich,lepidopterist,92,13555,03/01/2024,132645
Richard_Lester,film,92,13667,03/01/2024,132533
Alvin_Plantinga,theologian,92,13702,03/01/2024,132498
Philip_Zimbardo,psychologist,91,7564.5,03/01/2024,132035.5
Irwin_Winkler,film,93,20777,03/01/2024,132023
Marla_Gibbs,singer,93,20965,03/01/2024,131835
James_Tolkan,actor,93,21052,03/01/2024,131748
Barbara_Bain,actor,93,21104,03/01/2024,131696
Jane_Goodall,zoologist,90,1357,03/01/2024,131643
Julie_Newmar,singer,91,8246,03/01/2024,131354
Peter_Blake_(artist),painter,92,15358,03/01/2024,130842
Jerry_Hardin,actor,95,35450.5,03/01/2024,130549.5
Andrew_Young,politician,92,16346,03/01/2024,129854
John_Cullum,screenwriter,94,29595,03/01/2024,129805
