name,profession,birth,deathstamp,date_added_to_alivewatch
Buddy_MacKay,politician,1933,2024-12-31,2024-01-03
Linda_Lavin,film,1937,2024-12-29,2024-01-03
John_B._Cobb,theologian,1925,2024-12-26,2024-01-03
Stuart_A._Rice,chemist,1932,2024-12-22,2024-01-03
William_Labov,linguist,1927,2024-12-17,2024-01-03
Rocky_Colavito,baseball,1933,2024-12-10,2024-01-03
Marshall_Brickman,screenwriter,1939,2024-11-29,2024-01-03
Earl_Holliman,actor,1928,2024-11-25,2024-01-03
Barbara_Taylor_Bradford,author,1933,2024-11-24,2024-01-03
Colin_Renfrew,archaeologist,1937,2024-11-24,2024-01-03
Helen_Gallagher,actor,1926,2024-11-24,2024-01-03
Fred_R._Harris,politician,1930,2024-11-23,2024-01-03
John_Prescott,politician,1938,2024-11-20,2024-01-03
Richard_V._Allen,advisor,1936,2024-11-16,2024-01-03
Thomas_E._Kurtz,computer_scientist,1928,2024-11-12,2024-01-03
Roy_Haynes,drummer,1925,2024-11-12,2024-01-03
Timothy_West,opera,1934,2024-11-12,2024-01-03
Frank_Auerbach,painter,1931,2024-11-11,2024-01-03
Lou_Donaldson,composer,1926,2024-11-09,2024-01-03
Bobby_Allison,nascar,1937,2024-11-09,2024-01-03
John_Nott,politician,1932,2024-11-06,2024-01-03
Quincy_Jones,conductor,1933,2024-11-03,2024-01-03
Jonathan_Haze,actor,1929,2024-11-02,2024-01-03
Paul_Morrissey,film,1938,2024-10-28,2024-01-03
Jeri_Taylor,screenwriter,1938,2024-10-24,2024-01-03
Jack_Jones_(singer),singer,1938,2024-10-23,2024-01-03
Leon_Cooper,physicist,1930,2024-10-23,2024-01-03
Joseph_Rykwert,professor,1926,2024-10-18,2024-01-03
Andrew_Schally,physician,1926,2024-10-17,2024-01-03
Mitzi_Gaynor,actor,1931,2024-10-17,2024-01-03
Philip_Zimbardo,psychologist,1933,2024-10-14,2024-01-03
Ethel_Kennedy,campaign,1928,2024-10-10,2024-01-03
Cissy_Houston,singer,1933,2024-10-07,2024-01-03
Nicholas_Pryor,actor,1935,2024-10-07,2024-01-03
Robert_Coover,writer,1932,2024-10-05,2024-01-03
Bruce_Ames,biochemist,1928,2024-10-05,2024-01-03
Ron_Ely,actor,1938,2024-09-29,2024-01-03
Kris_Kristofferson,actor,1936,2024-09-28,2024-01-03
Fredric_Jameson,political_scientist,1934,2024-09-22,2024-01-03
Benny_Golson,composer,1929,2024-09-21,2024-01-03
Daniel_J._Evans,politician,1925,2024-09-20,2024-01-03
Kathryn_Crosby,singer,1933,2024-09-20,2024-01-03
Ralph_Abraham_(mathematician),mathematician,1936,2024-09-19,2024-01-03
Peter_Green_(historian),scholar,1924,2024-09-16,2024-01-03
Barbara_Leigh-Hunt,actor,1935,2024-09-16,2024-01-03
James_Earl_Jones,actor,1931,2024-09-09,2024-01-03
Herbie_Flowers,songwriter,1938,2024-09-05,2024-01-03
James_Darren,actor,1936,2024-09-02,2024-01-03
Alexander_Goehr,composer,1932,2024-08-26,2024-01-03
John_Amos,actor,1939,2024-08-21,2024-01-03
Bill_Pascrell,politician,1937,2024-08-21,2024-01-03
Phil_Donahue,film,1935,2024-08-18,2024-01-03
Gena_Rowlands,actor,1930,2024-08-14,2024-01-03
Charles_Cyphers,actor,1939,2024-08-04,2024-01-03
Alvin_Goldman,philosopher,1938,2024-08-04,2024-01-03
John_Mayall,guitar,1933,2024-07-22,2024-01-03
Wolfgang_Smith,mathematician,1930,2024-07-19,2024-01-03
James_C._Scott,anthropologist,1936,2024-07-19,2024-01-03
Bob_Newhart,actor,1929,2024-07-18,2024-01-03
James_Sikking,actor,1934,2024-07-13,2024-01-03
Joe_Engle,officer,1932,2024-07-10,2024-01-03
Maxine_Singer,biologist,1931,2024-07-09,2024-01-03
Jim_Inhofe,politician,1934,2024-07-09,2024-01-03
Vic_Seixas,player,1923,2024-07-05,2024-01-03
Robert_Towne,screenwriter,1934,2024-07-01,2024-01-03
Audrey_Flack,sculptor,1931,2024-06-28,2024-01-03
Orlando_Cepeda,baseball,1937,2024-06-28,2024-01-03
Bill_Cobbs,actor,1934,2024-06-25,2024-01-03
Paul_Davidson_(economist),economist,1930,2024-06-20,2024-01-03
Willie_Mays,baseball,1931,2024-06-18,2024-01-03
Jerry_West,basket,1938,2024-06-12,2024-01-03
Tony_Lo_Bianco,actor,1936,2024-06-11,2024-01-03
Lynn_Conway,engineer,1938,2024-06-09,2024-01-03
William_Anders,astronaut,1933,2024-06-07,2024-01-03
William_Russell_(actor),actor,1924,2024-06-03,2024-01-03
Janis_Paige,actor,1922,2024-06-02,2024-01-03
Tom_Bower_(actor),actor,1938,2024-05-30,2024-01-03
John_Boardman_(art_historian),archaeologist,1927,2024-05-23,2024-01-03
Darryl_Hickman,actor,1931,2024-05-22,2024-01-03
Ivan_Boesky,trader,1937,2024-05-20,2024-01-03
Frank_Ifield,singer,1937,2024-05-18,2024-01-03
Gordon_Bell,engineer,1934,2024-05-17,2024-01-03
Dabney_Coleman,actor,1932,2024-05-16,2024-01-03
Mark_Damon,actor,1933,2024-05-12,2024-01-03
James_Harris_Simons,mathematician,1938,2024-05-10,2024-01-03
Roger_Corman,film,1926,2024-05-09,2024-01-03
Bill_Holman_(musician),conductor,1927,2024-05-06,2024-01-03
Frank_Stella,painter,1936,2024-05-04,2024-01-03
Duane_Eddy,guitar,1938,2024-04-30,2024-01-03
Terry_Carter,actor,1928,2024-04-23,2024-01-03
Jerome_Rothenberg,poet,1931,2024-04-21,2024-01-03
David_Pryor,politician,1934,2024-04-20,2024-01-03
Bob_Graham,politician,1936,2024-04-16,2024-01-03
Whitey_Herzog,baseball,1931,2024-04-15,2024-01-03
Faith_Ringgold,painter,1930,2024-04-13,2024-01-03
Olga_FikotovÃ¡,basket,1932,2024-04-12,2024-01-03
Eleanor_Coppola,film,1936,2024-04-12,2024-01-03
Trina_Robbins,artist,1938,2024-04-10,2024-01-03
Peter_Higgs,physicist,1929,2024-04-09,2024-01-03
"Clarence_""Frogman""_Henry",singer,1937,2024-04-07,2024-01-03
Lynne_Reid_Banks,writer,1929,2024-04-04,2024-01-03
Albert_Heath,music,1935,2024-04-03,2024-01-03
John_Barth,writer,1930,2024-04-02,2024-01-03
Barbara_Rush,actor,1927,2024-03-31,2024-01-03
Louis_Gossett_Jr.,actor,1936,2024-03-29,2024-01-03
Richard_Serra,sculptor,1939,2024-03-26,2024-01-03
M._Emmet_Walsh,actor,1935,2024-03-19,2024-01-03
Thomas_P._Stafford,officer,1930,2024-03-18,2024-01-03
David_Seidler,screenwriter,1937,2024-03-16,2024-01-03
Byron_Janis,pianist,1928,2024-03-14,2024-01-03
Steve_Lawrence,actor,1935,2024-03-07,2024-01-03
Lucas_Samaras,sculptor,1936,2024-03-07,2024-01-03
Edward_Bond,writer,1934,2024-03-03,2024-01-03
Antoine_Predock,architect,1936,2024-03-02,2024-01-03
Iris_Apfel,designer,1921,2024-03-01,2024-01-03
Richard_H._Truly,officer,1937,2024-02-27,2024-01-03
"Jacob_Rothschild,_4th_Baron_Rothschild",investment,1936,2024-02-26,2024-01-03
Charles_Dierkop,actor,1936,2024-02-25,2024-01-03
Steve_Paxton,choreographer,1939,2024-02-20,2024-01-03
Allen_J._Bard,chemist,1933,2024-02-11,2024-01-03
Michael_Jayston,actor,1935,2024-02-05,2024-01-03
Don_Murray_(actor),film,1929,2024-02-02,2024-01-03
Jean_Carnahan,politician,1933,2024-01-30,2024-01-03
Chita_Rivera,dancer,1933,2024-01-30,2024-01-03
Carl_Andre,painter,1935,2024-01-24,2024-01-03
N._Scott_Momaday,novelist,1934,2024-01-24,2024-01-03
David_Kahn_(writer),historian,1930,2024-01-23,2024-01-03
Arno_Allan_Penzias,astronomer,1933,2024-01-22,2024-01-03
Donald_Adamson,biographer,1939,2024-01-18,2024-01-03
Peter_Schickele,composer,1935,2024-01-16,2024-01-03
Nicholas_Rescher,philosopher,1928,2024-01-05,2024-01-03
Glynis_Johns,actor,1923,2024-01-04,2024-01-03
Brian_Lumley,novelist,1937,2024-01-02,2024-01-03
Anne_Heywood,actor,1932,2023-10-27,2024-01-03
