name,profession,birth,deathstamp
Phil Lesh,music,1940,2024-10-25
Chet Walker,basket,1940,2024-06-08
Cale Yarborough,nascar,1939,2023-12-31
Eddie Bernice Johnson,politician,1935,2023-12-31
Les McCann,pianist,1935,2023-12-29
Herb Kohl,politician,1935,2023-12-27
Robert Solow,economist,1924,2023-12-21
Arno J. Mayer,historian,1926,2023-12-18
Shirley Anne Field,actor,1938,2023-12-10
Norman Lear,producer,1922,2023-12-05
Sandra Day O'Connor,judge,1930,2023-12-01
John Byrne (playwright),playwright,1940,2023-11-30
Elliott Erwitt,photographer,1928,2023-11-29
Charlie Munger,investor,1924,2023-11-28
Frances Sternhagen,actor,1930,2023-11-27
Victor J. Kemper,cinema,1927,2023-11-27
Elliot Silverstein,film,1927,2023-11-24
Rosalynn Carter,politician,1927,2023-11-19
Joss Ackland,actor,1928,2023-11-19
David Del Tredici,pianist,1937,2023-11-18
A. S. Byatt,writer,1936,2023-11-16
Maryanne Trump Barry,magistrat,1937,2023-11-13
M. Russell Ballard,religious,1928,2023-11-12
Don Walsh,oceanographer,1931,2023-11-12
Frank Borman,astronaut,1928,2023-11-07
Robert Butler (director),film,1927,2023-11-03
Bob Knight,basket,1940,2023-11-01
Ken Mattingly,astronaut,1936,2023-10-31
Robert Irwin (artist),painter,1928,2023-10-25
Bobby Charlton,football,1937,2023-10-21
Carla Bley,bandleader,1936,2023-10-17
Joanna Merlin,actor,1931,2023-10-15
Piper Laurie,actor,1932,2023-10-14
Mark Goddard,actor,1936,2023-10-10
Burt Young,actor,1940,2023-10-08
Dianne Feinstein,politician,1933,2023-09-29
Michael Gambon,actor,1940,2023-09-27
Brooks Robinson,baseball,1937,2023-09-26
David McCallum,music,1933,2023-09-25
Evelyn Fox Keller,physicist,1936,2023-09-22
Roger Whittaker,singer,1936,2023-09-13
Richard Davis (bassist),jazz,1930,2023-09-06
Ferid Murad,physician,1936,2023-09-04
Don Sundquist,politician,1936,2023-08-27
Bob Barker,actor,1923,2023-08-26
John Warnock,entrepreneur,1940,2023-08-19
James L. Buckley,politician,1923,2023-08-18
Howard S. Becker,sociologist,1928,2023-08-16
Michael Parkinson,presenter,1935,2023-08-16
Kenneth White,writer,1936,2023-08-11
Brice Marden,painter,1938,2023-08-09
William Friedkin,film,1935,2023-08-07
Arthur Schmidt (film editor),film,1937,2023-08-05
Mark Margolis,actor,1939,2023-08-03
Carl Davis,composer,1936,2023-08-03
Bo Goldman,screenwriter,1932,2023-07-25
Charles W. Misner,physicist,1932,2023-07-24
Inga Swenson,actor,1932,2023-07-23
Tony Bennett,singer,1926,2023-07-21
Richard Lynn,psychologist,1930,2023-07-17
Harry Frankfurt,philosopher,1929,2023-07-16
Alan Arkin,film,1934,2023-06-29
Lowell Weicker,politician,1931,2023-06-28
Nicolas Coster,actor,1934,2023-06-26
"Craig Brown (footballer, born 1940)",football,1940,2023-06-26
John B. Goodenough,physicist,1922,2023-06-25
Sheldon Harnick,poet,1924,2023-06-23
Betta St. John,actor,1929,2023-06-23
Frederic Forrest,actor,1936,2023-06-23
Harry Markowitz,economist,1927,2023-06-22
Daniel Ellsberg,activist,1931,2023-06-16
Paxton Whitehead,playwright,1937,2023-06-16
Glenda Jackson,actress,1936,2023-06-15
Cormac McCarthy,novelist,1933,2023-06-13
John Romita Sr.,artist,1930,2023-06-12
Pat Robertson,politician,1930,2023-06-08
Cynthia Weil,composer,1940,2023-06-01
Thomas Buergenthal,lawyer,1934,2023-05-29
Owen Gingerich,astronomer,1930,2023-05-28
James G. Watt,politician,1938,2023-05-27
George Maharis,actor,1928,2023-05-24
Bill Lee (musician),composer,1928,2023-05-24
Pete Brown,poet,1940,2023-05-19
Jim Brown,football,1936,2023-05-18
James Hartle,physicist,1939,2023-05-17
Robert Lucas Jr.,economist,1937,2023-05-15
Sharon Farrell,actor,1940,2023-05-15
Doyle Brunson,player,1933,2023-05-14
Barry Newman,actor,1938,2023-05-11
Kenneth Anger,actor,1927,2023-05-11
Grace Bumbry,music,1937,2023-05-07
Ralph Boston,athletic,1939,2023-04-30
Dick Groat,basket,1930,2023-04-27
Harry Belafonte,singer,1927,2023-04-25
Ahmad Jamal,pianist,1930,2023-04-16
Murray Melvin,actor,1932,2023-04-14
Mary Quant,designer,1934,2023-04-13
Anne Perry,writer,1938,2023-04-10
Al Jaffee,cartoonist,1921,2023-04-10
Richard Ng,actor,1939,2023-04-09
Ben Ferencz,lawyer,1920,2023-04-07
Bill Butler (cinematographer),cinema,1921,2023-04-05
Nigel Lawson,conservative,1932,2023-04-03
Gordon Moore,computer_scientist,1929,2023-03-24
Bud Grant,basket,1927,2023-03-11
John Jakes,writer,1932,2023-03-11
Keith Johnstone,drama,1933,2023-03-11
Robert Blake (actor),actor,1933,2023-03-09
Bert I. Gordon,screenwriter,1922,2023-03-08
Wayne Shorter,composer,1933,2023-03-02
Ricou Browning,screenwriter,1930,2023-02-27
Bob Richards,pole_vaulter,1926,2023-02-26
Betty Boothroyd,politician,1929,2023-02-26
James Abourezk,politician,1931,2023-02-24
Walter Mirisch,film,1921,2023-02-24
Barbara Bosson,actor,1939,2023-02-18
Stella Stevens,actor,1938,2023-02-17
Raquel Welch,actor,1940,2023-02-15
Paul Berg,biochemist,1926,2023-02-15
Zia Mohyeddin,actor,1933,2023-02-13
David Singmaster,mathematician,1939,2023-02-13
Hugh Hudson,film,1936,2023-02-10
Burt Bacharach,pianist,1928,2023-02-08
David Durenberger,politician,1934,2023-01-31
Sylvia Syms,actor,1934,2023-01-27
Edgar Schein,psychologist,1928,2023-01-26
William Lawvere,mathematician,1937,2023-01-23
Paul Johnson (writer),journalist,1928,2023-01-12
Charles Kimbrough,actor,1936,2023-01-11
Melinda Dillon,actor,1939,2023-01-09
Russell Banks,screenwriter,1940,2023-01-07
Owen Roizman,cinema,1936,2023-01-06
Miiko Taka,actor,1925,2023-01-04
Fay Weldon,essayist,1931,2023-01-04
Walter Cunningham,astronaut,1932,2023-01-03
Martin Davis,mathematician,1928,2023-01-01
Barbara Walters,journalist,1929,2022-12-30
Tony Vaccaro,photographer,1922,2022-12-28
George Cohen,football,1939,2022-12-23
Mike Hodges,screenwriter,1932,2022-12-17
Stuart Margolin,actor,1940,2022-12-12
Angelo Badalamenti,composer,1937,2022-12-11
Joseph Kittinger,officer,1928,2022-12-09
Nick Bollettieri,coach,1931,2022-12-04
Gaylord Perry,baseball,1938,2022-12-01
Ray Nelson,cartoonist,1931,2022-11-29
E. P. Sanders,theologian,1937,2022-11-21
Marijane Meaker,writer,1927,2022-11-21
Ned Rorem,composer,1923,2022-11-18
Fred Brooks,mathematician,1931,2022-11-17
John Aniston,actor,1933,2022-11-11
Nik Turner,artist,1940,2022-11-10
Lee Bontecou,sculptor,1931,2022-11-08
Leslie Phillips,actor,1924,2022-11-07
Edward C. Prescott,economist,1940,2022-11-06
Andrew Prine,actor,1936,2022-10-31
Herman Daly,economist,1938,2022-10-28
Jerry Lee Lewis,singer,1935,2022-10-28
Jules Bass,film,1935,2022-10-25
Ron Masak,actor,1936,2022-10-20
James McDivitt,astronaut,1929,2022-10-13
Angela Lansbury,actor,1925,2022-10-11
Michael Callan,actor,1935,2022-10-10
Eileen Ryan,actor,1928,2022-10-09
Phil Read,racer,1939,2022-10-06
Loretta Lynn,singer,1932,2022-10-04
James Florio,politician,1937,2022-09-25
Pharoah Sanders,saxophonist,1940,2022-09-24
Louise Fletcher,actor,1934,2022-09-23
Nick Holonyak,engineer,1928,2022-09-20
Maury Wills,baseball,1932,2022-09-19
Kelsang Gyatso,writer,1931,2022-09-17
Saul Kripke,philosopher,1940,2022-09-15
Henry Silva,actor,1928,2022-09-14
Ramsey Lewis,jazz,1935,2022-09-12
William Klein (photographer),photographer,1928,2022-09-10
Jack Ging,actor,1931,2022-09-09
"Marsha Hunt (actress, born 1917)",actor,1917,2022-09-07
Frank Drake,astronomer,1930,2022-09-02
Don L. Lind,scientist,1930,2022-08-30
Joe E. Tata,actor,1936,2022-08-25
Nel Noddings,philosopher,1929,2022-08-25
Len Dawson,football,1935,2022-08-24
Kallistos Ware,priest,1934,2022-08-24
Creed Taylor,producer,1929,2022-08-23
Alexei Panshin,writer,1940,2022-08-21
Barry Boehm,computer_scientist,1935,2022-08-20
Frederick Buechner,poet,1926,2022-08-15
Raymond Briggs,writer,1934,2022-08-09
David McCullough,author,1933,2022-08-07
Roger E. Mosley,actor,1938,2022-08-07
Clu Gulager,actor,1928,2022-08-05
Raymond Damadian,physician,1936,2022-08-03
Vin Scully,sport,1927,2022-08-02
Bill Russell,basket,1934,2022-07-31
Nichelle Nichols,actor,1932,2022-07-30
Pat Carroll (actress),actor,1927,2022-07-30
Bernard Cribbins,actor,1928,2022-07-27
James Lovelock,biologist,1919,2022-07-26
Paul Sorvino,actor,1939,2022-07-25
Bob Rafelson,film,1933,2022-07-23
Stuart Woods,novelist,1938,2022-07-22
Rodney Stark,sociologist,1934,2022-07-21
Claes Oldenburg,artist,1929,2022-07-18
Monty Norman,composer,1928,2022-07-11
L. Q. Jones,film,1927,2022-07-09
Larry Storch,actor,1923,2022-07-08
James Caan,actor,1940,2022-07-06
Robert Curl,chemist,1933,2022-07-03
Peter Brook,theatre,1925,2022-07-02
Sonny Barger,writer,1938,2022-06-29
Joe Turkel,actor,1927,2022-06-27
Margaret Keane,painter,1927,2022-06-26
Philip Baker Hall,actor,1931,2022-06-12
Dale W. Jorgenson,economist,1933,2022-06-08
Grachan Moncur III,music,1937,2022-06-03
Dorothy E. Smith,anthropologist,1926,2022-06-03
Roger Shepard,psychologist,1929,2022-05-30
Ronnie Hawkins,music,1935,2022-05-29
Lester Piggott,jockey,1935,2022-05-29
Walter Abish,writer,1931,2022-05-28
Rosemary Radford Ruether,philosopher,1936,2022-05-21
Simon Preston,conductor,1938,2022-05-13
Ben Roy Mottelson,physicist,1926,2022-05-13
Robert McFarlane,officer,1937,2022-05-12
Shivkumar Sharma,music,1938,2022-05-10
Mickey Gilley,music,1936,2022-05-07
Norman Mineta,politician,1931,2022-05-03
Bob Krueger,politician,1935,2022-04-30
Ron Galella,photographer,1931,2022-04-30
Joanna Barnes,novelist,1934,2022-04-29
David Birney,actor,1939,2022-04-27
Orrin Hatch,politician,1934,2022-04-23
Robert Morse,actor,1931,2022-04-20
Harrison Birtwistle,composer,1934,2022-04-18
James Olson (actor),actor,1930,2022-04-17
Liz Sheridan,actor,1929,2022-04-15
Jack Higgins,novelist,1929,2022-04-09
David McKee,writer,1935,2022-04-06
Nehemiah Persoff,actor,1919,2022-04-05
Jerry Uelsmann,photographer,1934,2022-04-04
Estelle Harris,actor,1928,2022-04-02
Richard Howard,poet,1929,2022-03-31
Marvin J. Chomsky,film,1929,2022-03-28
Madeleine Albright,politician,1937,2022-03-23
Don Young,politician,1933,2022-03-18
Christopher Alexander,architect,1936,2022-03-17
Peter Bowles,actor,1936,2022-03-17
Eugene Parker,astronomer,1927,2022-03-15
John Elliott (historian),historian,1930,2022-03-10
John Korty,film,1936,2022-03-09
Jimmy Lydon,actor,1923,2022-03-09
Mitchell Ryan,actor,1928,2022-03-04
Tony Walton,art_director,1934,2022-03-02
Conrad Janis,actor,1928,2022-03-01
Sally Kellerman,actor,1937,2022-02-24
Gail Halvorsen,officer,1920,2022-02-16
Sandy Nelson,drummer,1938,2022-02-14
Syl Johnson,singer,1936,2022-02-06
George Crumb,composer,1929,2022-02-06
James Bidgood (filmmaker),film,1933,2022-01-31
Howard Hesseman,comedian,1940,2022-01-29
David Cox (statistician),mathematician,1924,2022-01-18
Ron Goulart,writer,1933,2022-01-14
Dwayne Hickman,actor,1934,2022-01-09
Mark Forest,actor,1933,2022-01-07
Peter Bogdanovich,actor,1939,2022-01-06
Sidney Poitier,actor,1927,2022-01-06
Joan Copeland,actor,1922,2022-01-04
Betty White,actor,1922,2021-12-31
Sam Jones (basketball),basket,1933,2021-12-30
Harry Reid,politician,1939,2021-12-28
John Madden,football,1936,2021-12-28
April Ashley,model,1935,2021-12-27
E. O. Wilson,entomologist,1929,2021-12-26
Richard Marcinko,officer,1940,2021-12-25
Jonathan Spence,historian,1936,2021-12-25
Wayne Thiebaud,painter,1920,2021-12-25
Joan Didion,screenwriter,1934,2021-12-23
Sally Ann Howes,singer,1930,2021-12-19
Richard Rogers,architect,1933,2021-12-18
Jack Hedley,actor,1930,2021-12-11
Al Unser,driver,1939,2021-12-09
Cara Williams,actor,1925,2021-12-09
Barry Harris,pianist,1929,2021-12-08
Bob Dole,politician,1923,2021-12-05
Alvin Lucier,composer,1931,2021-12-01
Arlene Dahl,actor,1925,2021-11-29
Michael Fisher,physicist,1931,2021-11-26
Stephen Sondheim,drama,1930,2021-11-26
Noah Gordon (novelist),writer,1926,2021-11-22
Robert Bly,poet,1926,2021-11-21
Slide Hampton,composer,1932,2021-11-18
Sam Huff,football,1934,2021-11-13
Dean Stockwell,actor,1936,2021-11-07
Aaron T. Beck,psychiatrist,1921,2021-11-01
Mihaly Csikszentmihalyi,psychologist,1934,2021-10-20
Leslie Bricusse,composer,1931,2021-10-19
Colin Powell,politician,1937,2021-10-18
Gary Paulsen,writer,1939,2021-10-13
Budge Patty,player,1924,2021-10-03
Anthony Downs,economist,1930,2021-10-02
Carlisle Floyd,composer,1926,2021-09-30
Roger Hunt,football,1938,2021-09-27
Melvin Van Peebles,film,1932,2021-09-21
Jimmy Greaves,football,1940,2021-09-19
Clive Sinclair,engineer,1940,2021-09-16
Jane Powell,actor,1929,2021-09-16
Antony Hewish,astronomer,1924,2021-09-13
John Shelby Spong,theologian,1931,2021-09-12
Art Metrano,actor,1936,2021-09-08
Adlai Stevenson III,politician,1930,2021-09-06
Willard Scott,actor,1934,2021-09-04
Michael Constantine,actor,1927,2021-08-31
Ed Asner,actor,1929,2021-08-29
Tom T. Hall,singer,1936,2021-08-20
Chuck Close,painter,1940,2021-08-19
Una Stubbs,actor,1937,2021-08-12
Pat Hitchcock,actor,1928,2021-08-09
Alex Cord,actor,1933,2021-08-09
Jane Withers,actor,1926,2021-08-07
Donald Kagan,historian,1932,2021-08-06
Abdalqadir as-Sufi,author,1930,2021-08-01
Carl Levin,politician,1934,2021-07-29
Jackie Mason,comedian,1931,2021-07-24
Steven Weinberg,physicist,1933,2021-07-23
William F. Nolan,screenwriter,1928,2021-07-15
Edwin Edwards,politician,1927,2021-07-12
Robert Downey Sr.,actor,1936,2021-07-07
William Smith (actor),actor,1933,2021-07-05
Richard Donner,film,1930,2021-07-05
Richard Lewontin,mathematician,1929,2021-07-04
Donald Rumsfeld,politician,1932,2021-06-29
Mike Gravel,politician,1930,2021-06-26
Jon Hassell,composer,1937,2021-06-26
Frederic Rzewski,pianist,1938,2021-06-26
Joanne Linville,actor,1928,2021-06-20
Ned Beatty,comedian,1937,2021-06-13
Clarence Williams III,actor,1939,2021-06-04
F. Lee Bailey,lawyer,1933,2021-06-03
Arlene Golonka,actor,1936,2021-05-31
Gavin MacLeod,actor,1931,2021-05-29
John Warner,politician,1927,2021-05-25
Ron Hill,runner,1938,2021-05-23
Max Mosley,driver,1940,2021-05-23
Charles Grodin,screenwriter,1935,2021-05-18
Norman Lloyd,actor,1914,2021-05-11
Buddy Van Horn,actor,1929,2021-05-11
Jerome Kagan,psychologist,1929,2021-05-10
Ronald Inglehart,political_scientist,1934,2021-05-08
Curtis Fuller,composer,1934,2021-05-08
Lloyd Price,music,1933,2021-05-03
Jacques d'Amboise (dancer),actor,1934,2021-05-02
Carlos Romero BarcelÃ³,politician,1932,2021-05-02
Bobby Unser,driver,1934,2021-05-02
Olympia Dukakis,actor,1931,2021-05-01
Eli Broad,financier,1933,2021-04-30
Michael Collins (astronaut),astronaut,1930,2021-04-28
Tempest Storm,actor,1928,2021-04-20
Monte Hellman,film,1932,2021-04-20
Walter Mondale,politician,1928,2021-04-19
Anthony Powell (designer),costume_designer,1935,2021-04-16
Bernard Madoff,stockbroker,1938,2021-04-14
Shirley Williams,politician,1930,2021-04-11
John Williamson (economist),economist,1937,2021-04-11
Ramsey Clark,politician,1927,2021-04-09
Richard Rush (director),film,1929,2021-04-08
John Naisbitt,writer,1929,2021-04-08
James Hampton (actor),actor,1936,2021-04-07
Alcee Hastings,politician,1936,2021-04-06
Marshall Sahlins,anthropologist,1930,2021-04-05
G. Gordon Liddy,actor,1930,2021-03-30
Larry McMurtry,screenwriter,1936,2021-03-25
Bill Brock,politician,1930,2021-03-25
Beverly Cleary,writer,1916,2021-03-25
George Segal,banjoist,1934,2021-03-23
Edmund Gettier,philosopher,1927,2021-03-23
Elgin Baylor,basket,1934,2021-03-22
Yaphet Kotto,actor,1939,2021-03-15
Henry Darrow,actor,1933,2021-03-14
Murray Walker,commentator,1923,2021-03-13
John Polkinghorne,physicist,1930,2021-03-09
Roger Mudd,presenter,1928,2021-03-09
Trevor Peacock,actor,1931,2021-03-08
David Bailie,photographer,1937,2021-03-06
Chris Barber,bandleader,1930,2021-03-02
Ian St John,football,1938,2021-03-01
Ronald Pickup,actor,1940,2021-02-24
Lawrence Ferlinghetti,poet,1919,2021-02-22
Bernard Lown,cardiologist,1921,2021-02-16
Johnny Pacheco,singer,1935,2021-02-15
Isadore Singer,mathematician,1924,2021-02-11
Cyril Mango,teacher,1928,2021-02-08
George P. Shultz,statesman,1920,2021-02-06
Tony Trabert,player,1930,2021-02-03
Cicely Tyson,actor,1933,2021-01-28
Cloris Leachman,actor,1926,2021-01-27
Bruce Kirby (actor),actor,1928,2021-01-24
Larry King,television,1933,2021-01-23
Hal Holbrook,actor,1925,2021-01-23
Walter Bernstein,screenwriter,1919,2021-01-23
Hank Aaron,baseball,1934,2021-01-22
Jimmie Rodgers (pop singer),singer,1933,2021-01-18
Junior Mance,composer,1928,2021-01-17
Sammy Nestico,composer,1924,2021-01-17
Phil Spector,producer,1939,2021-01-16
Peter Mark Richman,screenwriter,1927,2021-01-14
Sheldon Adelson,entrepreneur,1933,2021-01-11
Ed Bruce,singer,1939,2021-01-08
Mike Henry (American football),actor,1936,2021-01-08
Tommy Lasorda,baseball,1927,2021-01-07
Neil Sheehan,correspondent,1936,2021-01-07
John Richardson (actor),actor,1934,2021-01-05
Barbara Shelley,actor,1932,2021-01-03
Dick Thornburgh,politician,1932,2020-12-31
Tommy Docherty,football,1928,2020-12-31
Dawn Wells,actor,1938,2020-12-30
Eugene Wright,music,1923,2020-12-30
William Link,screenwriter,1933,2020-12-27
George Blake,spy,1922,2020-12-26
Phil Niekro,baseball,1939,2020-12-26
K. C. Jones,basket,1932,2020-12-25
James E. Gunn (writer),writer,1923,2020-12-23
Ezra Vogel,professor,1930,2020-12-20
Tim Severin,explorer,1940,2020-12-18
Charley Pride,country_music,1938,2020-12-12
John le CarrÃ©,writer,1931,2020-12-12
Barbara Windsor,actor,1937,2020-12-10
Harold Budd,composer,1936,2020-12-08
Chuck Yeager,militar,1923,2020-12-07
Paul Sarbanes,politician,1933,2020-12-06
Richard Corben,screenwriter,1940,2020-12-02
Michael Spivak,mathematician,1940,2020-10-01
John LaMotta,actor,1939,2014-01-29
Pat Crowley,actor,1933,2011-05-24
Chris Blackwell,producer,1937,2009-01-01
