Name,Profession,Approximate Age,Date Added to Alivewatch
Ron Jones (teacher),Teacher,85,2026-01-01
Nancy Farmer,Writer,85,2026-01-01
John Edgar Wideman,Writer,85,2026-01-01
Miriam Margolyes,Actor,85,2026-01-01
Stephen Frears,Actor,85,2026-01-01
Sam Farr,Politician,85,2026-01-01
Michael Mukasey,Judge,85,2026-01-01
Irma Thomas,Music,85,2026-01-01
Danny K. Davis,Politician,85,2026-01-01
Eric Burdon,Singer,85,2026-01-01
Karl Barry Sharpless,Chemist,85,2026-01-01
Grace Coddington,Model,85,2026-01-01
Jesse Jackson,Politician,85,2026-01-01
Beau Bridges,Actor,85,2026-01-01
Olu Dara,Singer,85,2026-01-01
Vikki Carr,Singer,85,2026-01-01
John Carter (Texas politician),Politician,85,2026-01-01
Joe Brown (singer),Guitar,85,2026-01-01
Gloria Allred,Law,85,2026-01-01
Martin Carthy,Guitar,85,2026-01-01
Dana Ivey,Actor,85,2026-01-01
John Henry Schwarz,Physicist,85,2026-01-01
Leon Russom,Actor,85,2026-01-01
Walter Block,Economist,85,2026-01-01
Charlotte Stewart,Actor,85,2026-01-01
Dave Brock,Singer,85,2026-01-01
Jerry Spinelli,Writer,85,2026-01-01
Lesley Stahl,Journalist,85,2026-01-01
Martha Stewart,Presenter,85,2026-01-01
David Crystal,Linguist,85,2026-01-01
Harrison Page,Actor,85,2026-01-01
Chubby Checker,Singer,85,2026-01-01
Lucille Roybal-Allard,Politician,85,2026-01-01
Marc Norman,Screenwriter,85,2026-01-01
John C. Malone,Billionaire,85,2026-01-01
Joel Cox,Film,85,2026-01-01
Martin Evans,Geneticist,85,2026-01-01
Jeffrey Moussaieff Masson,Writer,85,2026-01-01
Peter Suschitzky,Cinema,85,2026-01-01
Juliet Mills,Actor,85,2026-01-01
Stacy Keach,Actor,85,2026-01-01
Peter Coyote,Actor,85,2026-01-01
Max Baucus,Politician,85,2026-01-01
Boris Vallejo,Painter,85,2026-01-01
Pete Best,Drummer,85,2026-01-01
George Clinton (musician),Singer,85,2026-01-01
Robin Morgan,Poet,85,2026-01-01
Onora O'Neill,Philosopher,85,2026-01-01
Derek Bell (racing driver),Driver,85,2026-01-01
Lynne Cheney,Novelist,85,2026-01-01
Joseph Hooton Taylor Jr.,Astronomer,85,2026-01-01
Paul Bremer,Diplomat,85,2026-01-01
Nick Nolte,Actor,85,2026-01-01
Bruce Welch,Guitar,85,2026-01-01
Connie Smith,Singer,85,2026-01-01
Lynda Benglis,Painter,85,2026-01-01
Michael Stuart Brown,Geneticist,85,2026-01-01
Randall Collins,Sociologist,85,2026-01-01
Jeremiah Wright,Pastor,85,2026-01-01
Ted Strickland,Politician,85,2026-01-01
Alan Mullery,Football,85,2026-01-01
Mike Honda,Politician,85,2026-01-01
Marianna Hill,Actor,85,2026-01-01
Michael Berry (physicist),Physicist,85,2026-01-01
David Puttnam,Film,85,2026-01-01
Ellen Geer,Film,85,2026-01-01
Richard Perle,Politician,85,2026-01-01
Robert Pine,Actor,85,2026-01-01
Robert Thurman,Writer,85,2026-01-01
Ben Nelson,Politician,85,2026-01-01
Dick Gephardt,Politician,85,2026-01-01
Bobby Goldsboro,Singer,85,2026-01-01
John Lewis Gaddis,Historian,85,2026-01-01
Dennis Sullivan,Mathematician,85,2026-01-01
James Clapper,Officer,85,2026-01-01
Bobby Cox,Baseball,85,2026-01-01
John Bennett Perry,Actor,85,2026-01-01
R. James Woolsey Jr.,Lawyer,85,2026-01-01
Elaine Showalter,Sociologist,85,2026-01-01
Alex Ferguson,Football,85,2026-01-01
Donna Shalala,Politician,85,2026-01-01
Art Garfunkel,Singer,85,2026-01-01
Billy Collins,Poet,85,2026-01-01
Charo,Singer,85,2026-01-01
Neil Diamond,Singer,85,2026-01-01
Martin Jarvis (actor),Actor,85,2026-01-01
Maulana Karenga,Writer,85,2026-01-01
Faye Dunaway,Actor,85,2026-01-01
Paul Simon,Singer,85,2026-01-01
Bill Oddie,Comedian,85,2026-01-01
Robert Keohane,Political Scientist,85,2026-01-01
Steven Lukes,Sociologist,85,2026-01-01
Rosalind E. Krauss,Art Historian,85,2026-01-01
Otis Williams,Singer,85,2026-01-01
Martine Beswick,Actor,85,2026-01-01
Billy Cox,Music,85,2026-01-01
Joan Wallach Scott,Historian,85,2026-01-01
Bernard Purdie,Music,85,2026-01-01
Martha Reeves,Singer,85,2026-01-01
John E. Walker,Biologist,85,2026-01-01
Piers Paul Read,Writer,85,2026-01-01
Robert McKee,Writer,85,2026-01-01
Tommy Thompson,Politician,85,2026-01-01
Buffy Sainte-Marie,Actor,85,2026-01-01
Bill Parcells,Coach,85,2026-01-01
Trent Lott,Politician,85,2026-01-01
Gregory Benford,Physicist,85,2026-01-01
Leslie Lamport,Mathematician,85,2026-01-01
"Bob Wilson (footballer, born 1941)",Football,85,2026-01-01
Adrian Lyne,Film,85,2026-01-01
Grace Zabriskie,Actor,85,2026-01-01
Delia Smith,Broadcast,85,2026-01-01
Aldrich Ames,Spy,85,2026-01-01
Lynn Hershman Leeson,Screenwriter,85,2026-01-01
Hank Marvin,Guitar,85,2026-01-01
Roger Taylor (tennis),Player,85,2026-01-01
Laurence Tribe,Lawyer,85,2026-01-01
Jerry Scheff,Music,85,2026-01-01
Seasick Steve,Guitar,85,2026-01-01
David Parnas,Computer Scientist,85,2026-01-01
Mike Love,Singer,85,2026-01-01
Jennifer Warren,Actor,85,2026-01-01
Alan Furst,Author,85,2026-01-01
William Nordhaus,Economist,85,2026-01-01
Chu Ching-wu,Physicist,85,2026-01-01
Stephen Krashen,Professor,85,2026-01-01
